%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6
1699440060829179061,24,0,,8.819312930769015e-05,-0.7863251271447839,-0.002823048335034373,-2.3556170246791535,-0.0004746211664958858,1.5780937441734701,0.7848518554604401
1699440060839598067,25,0,,8.203091355723024e-05,-0.7863190519794462,-0.002870162020011776,-2.3556202720717243,-0.0004367929602076239,1.5780848751822918,0.784663058583807
1699440060850224174,26,0,,7.917340746980614e-05,-0.7863155644127741,-0.002922810095126457,-2.355620272084286,-0.0003967525324720427,1.5780754800796657,0.7844565270727032
1699440060860388756,27,0,,7.63496508666312e-05,-0.7863141949821818,-0.002970750254651705,-2.355620272084286,-0.0003541022405276716,1.5780648830945558,0.7842795392655274
1699440060870400133,28,0,,7.213099444890113e-05,-0.7863002026547132,-0.003020788140187917,-2.3556149823707444,-0.00031695573690608753,1.5780517340504718,0.784092584238556
1699440060881486972,29,0,,6.359700316680338e-05,-0.7862935421604569,-0.0030665989784823045,-2.355615238777008,-0.0002778934497327163,1.5780348048368964,0.7839017327261811
1699440060892194238,30,0,,5.435494062600061e-05,-0.7862893385930616,-0.003116330145143965,-2.355620019483284,-0.00023084815553508245,1.5780123162033197,0.7837177023964521
1699440060902366669,31,0,,4.9186051444893985e-05,-0.7862777090119965,-0.0031572219472311754,-2.3556149824089,-0.00017765046975983895,1.5780008459120118,0.7835485856077605
1699440060912521991,32,0,,4.2667320771042334e-05,-0.7862732279395929,-0.003195074707683797,-2.355623240088534,-0.00013016708508000613,1.5779941559761164,0.7833893565479693
1699440060922575105,33,0,,4.507638717586847e-05,-0.7862636882982313,-0.0032394801500209695,-2.3556210734206307,-0.00010011389867890978,1.5779844475602984,0.7832333065961526
1699440060933498872,34,0,,3.670089802676509e-05,-0.7862598364497916,-0.0032846790932696064,-2.355618072868727,-6.95431348881258e-05,1.5779742408385957,0.7830706191386094
1699440060944256484,35,0,,3.1001581557120233e-05,-0.7862490368468307,-0.0033336750199289954,-2.3556183202294556,-3.077591842837627e-05,1.577971665424295,0.7828994178497786
1699440060954241754,36,0,,2.746564676473993e-05,-0.7862444724690999,-0.0033655986461098124,-2.3556183202308523,1.0317348421634172e-05,1.5779620246454917,0.7827553678698543
1699440060965457106,37,0,,2.107414771099221e-05,-0.7862351339366557,-0.0034153282201440207,-2.355621104290611,5.3481493275134537e-05,1.5779510752110097,0.7826032967203814
1699440060975481009,38,0,,1.7109740723087713e-05,-0.7862311061732887,-0.003455108544639786,-2.355621104290611,9.145592140394183e-05,1.5779426878548286,0.7824577562883572
1699440060985339801,39,0,,5.785428337914248e-06,-0.78621622352241,-0.0035034063500970114,-2.355621104290611,0.0001295680823647283,1.5779337690622568,0.7823231061544835
1699440060996395752,40,0,,6.539466405780018e-06,-0.7862066259377648,-0.0035462634897838394,-2.355618320545788,0.0001656938214091073,1.577921860090684,0.7821729330078332
1699440061006525619,41,0,,-1.4100778348720434e-06,-0.7861947643184003,-0.003589649254287961,-2.355617713322883,0.0001957722691590085,1.5779146263636883,0.7820357861451697
1699440061017532547,42,0,,-2.5122949926539604e-06,-0.7861955230455934,-0.0036350734684687997,-2.3556221345631645,0.00022479628757237355,1.577903395287552,0.7818916245912754
1699440061027310138,43,0,,-1.7270989943394384e-05,-0.7861838364396908,-0.0036709422908867842,-2.3556242036970976,0.0002603400164329998,1.5778909953370759,0.7817596353784845
1699440061038180066,44,0,,-2.651455374922641e-05,-0.7861802200753037,-0.003708658435600678,-2.35562141967238,0.0003047273688368727,1.5778812464151861,0.7816196627857309
1699440061048259306,45,0,,-3.324509345478833e-05,-0.786168837657718,-0.003738430361637949,-2.355621447257534,0.00033916872655168453,1.5778742216079107,0.7815075162286046
1699440061059688423,46,0,,-3.9720509207132514e-05,-0.7861641789408909,-0.0037627583199349875,-2.3556294944633214,0.0003744218036344592,1.5778650758445152,0.7813833645007172
1699440061070247549,47,0,,-4.8281086258376046e-05,-0.7861600922859693,-0.0037889888493063298,-2.3556244244191538,0.0004042967212311107,1.5778597795941427,0.7812641525513803
1699440061080527262,48,0,,-4.619241964405823e-05,-0.7861433809805761,-0.0038113643623848246,-2.3556219455427723,0.0004337815233549511,1.5778507712135377,0.7811553947968208
1699440061091533202,49,0,,-4.725488314226213e-05,-0.7861422054551735,-0.003841764760354961,-2.355625316201279,0.0004647898880318804,1.5778433092244393,0.781036491273732
1699440061102327254,50,0,,-5.0425873456348576e-05,-0.7861414508951114,-0.0038773130034908693,-2.3556247575199256,0.0004994104438427282,1.5778397709968923,0.7809272923454044
1699440061112587947,51,0,,-5.8622016017304035e-05,-0.7861263240110257,-0.003906469157789443,-2.355625393315365,0.0005336656451612797,1.5778322753899259,0.7808234341847298
1699440061123229325,52,0,,-5.96014821550348e-05,-0.7861198358084988,-0.003946912801216377,-2.3556275134673434,0.000567236164092855,1.577826220734011,0.7807179524113439
1699440061134277060,53,0,,-7.138221044126352e-05,-0.7861184823611034,-0.003988469889970374,-2.3556275138992264,0.0005974982875545025,1.5778174970459915,0.7806188858661924
1699440061144408042,54,0,,-7.570703537786497e-05,-0.7861095535206298,-0.0040264582440819085,-2.3556304017412932,0.0006294546944278083,1.577811165915403,0.7805320011798081
