%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6
1699436361457222746,28,0,,-8.813833450313383e-05,-0.7863694165533897,-0.002477108243401362,-2.355448301140167,-0.0008919878409920409,1.5784583964660037,0.7862367082617122
1699436361466934442,29,0,,-9.442939757437917e-05,-0.7863694257221515,-0.0025221966856808003,-2.3554434717420984,-0.0008363369690670356,1.5784451987445958,0.78602941840102
1699436361476752513,30,0,,-0.00010870098056183023,-0.7863623857646499,-0.0025605033917094327,-2.3554462589798772,-0.0007827402822082103,1.5784351118335977,0.7858214572410307
1699436361487665989,31,0,,-0.00012128635639295023,-0.7863605663908827,-0.002602092100256776,-2.3554381852066304,-0.000724484230012969,1.5784191404079462,0.7855954746675186
1699436361498665356,32,0,,-0.00013527579480795962,-0.7863536095708558,-0.002650714764271886,-2.355446968021741,-0.0006768846017943921,1.5783985143285546,0.785375307748087
1699436361509969784,33,0,,-0.00013694987508631058,-0.7863505409937148,-0.00270504269912737,-2.355449119990732,-0.0006245287470622573,1.5783858173127592,0.7851674657689124
1699436361520002698,34,0,,-0.0001444625045812571,-0.7863523479990554,-0.0027410226519811102,-2.355446265009869,-0.0005772026773636859,1.5783696563798102,0.7849656257137689
1699436361532964410,35,0,,-0.00014315733551141204,-0.786344301741707,-0.0027846794462042775,-2.3554491203416417,-0.0005196839810333012,1.5783583808070034,0.7847438996184806
1699436361542656743,36,0,,-0.00015478456720389327,-0.7863407697565391,-0.0028447078363162443,-2.355446335943122,-0.0004606539024205071,1.578348037209929,0.7845113031414747
1699436361553018512,37,0,,-0.00016083924038124805,-0.7863403046691232,-0.0028744377758539333,-2.3554471051619115,-0.00041277107343074725,1.5783381226343665,0.78432220414107
1699436361563574909,38,0,,-0.00016784237213593976,-0.7863318166242116,-0.002913512311229897,-2.3554517156118973,-0.000366577635460449,1.5783247641681144,0.7841297002488605
