%time,field.header.seq,field.header.stamp,field.header.frame_id,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6
1699440060850373856,26,0,,-0.0013616092990612338,-1.41709549259849e-05,-0.0032918940759904063,-0.0003108344207577936,0.00472376418136316,-0.0003219077297059353,-0.017678083051405353
1699440060860277376,27,0,,-0.002309969777256613,-0.00015152892502935992,-0.004565020681567694,-0.0010415165929931417,0.0006597752884610966,-0.00039643583307562763,-0.016465511159145838
1699440060870289041,28,0,,-6.434910081983084e-05,0.002018471831459307,-0.0041783512361974785,0.0006249375465622592,0.0018224025497615775,-0.0012071964699708513,-0.01891414700274032
1699440060881730317,29,0,,-0.0011320701505286206,0.0018099557431301542,-0.00305802076810297,0.0005333464694059954,0.001108468205640061,-0.002236762755236285,-0.02028996713204348
1699440060892371969,30,0,,-0.0011075904957182825,-0.0010952595664738538,-0.005766547752281564,3.362519703901164e-05,0.006915320316848972,-0.006553321635595165,-0.018457106863683178
1699440060902477323,31,0,,0.0008449432969882345,0.0013982105049748098,-0.007172461347694904,0.000951729271373833,0.00902665848082111,-0.0009722723854689061,-0.01662163399370404
1699440060912544625,32,0,,-0.0010383718846583294,0.0002596638689235281,-0.0037039663377487,-0.0008487846694944034,0.005805509188396924,-0.00035438829290831796,-0.012947523372232891
1699440060922235994,33,0,,0.0013194696586496832,0.0013489276933280594,-0.006175523136184188,0.00044100206453622534,0.0013494169438184663,-0.0001458701521412954,-0.01617977952498588
1699440060933759706,34,0,,0.00020592148752612784,5.996304152790287e-05,-0.006589542932225685,0.00030644205577748927,0.005000896407164621,0.00018289296407346048,-0.020784685790533636
1699440060945182563,35,0,,-0.00016210354833671092,0.0003870394528387432,-0.002307946321222128,0.0006999828428847219,0.001917046040151471,0.0002226476565841995,-0.013832382625352255
1699440060954321019,36,0,,-0.000967669445586593,0.0028470860514487493,-0.0029409685892873975,0.000856819364145313,0.006231486012298421,4.301508825628393e-05,-0.01407900782984502
1699440060965608186,37,0,,-0.0005650504941210143,0.004065270366337623,-0.005121152523255641,-0.00018901767191617305,0.0012945913485032945,-0.00039498436925233164,-0.011757196215451921
1699440060975330453,38,0,,6.135436207163603e-05,0.00017683583573156357,-0.001730646888505704,-0.00017742480348595502,0.00044542530792685475,-0.0033711852087042345,-0.01177743063723834
1699440060985365886,39,0,,-0.0011084436878595776,0.001268977659385616,-0.005330212547367154,-9.473310589209382e-05,0.003070073216000336,-0.00046335566459887906,-0.013957069266489687
